# k (Mpc/h), P (mK^2 (Mpc/h)^3)
0.005973236048744385, 1001775705397237.9
0.00963542705083421, 966910496678369.9
0.01296890251671618, 388005688952544.25
0.015907901866580428, 518915410946058.94
0.01924306263881956, 474053107886300.8
0.022118621886950345, 363418324220267.06
0.025423886174487355, 420078634716114.25
0.028685425105596355, 384101736690579.9
0.03374627229379781, 383307537769706.94
0.03789911182226455, 456392397573494.75
0.043562510811394506, 382062827396431.6
0.05101070083349562, 310520003870933.1
0.058361847609200074, 338502072025613.4
0.06834038472603968, 414820373389290.06
0.07675039957479333, 337323054487840.4
0.08500324081978214, 346912419538741.75
0.09770557723307809, 336287325498584.5
0.11655536213766954, 355805163003300.44
0.13648365527611508, 365660350638521
0.16281467565185057, 344052092724600.94
0.19694948009891955, 385946056491093
0.23169643674701546, 363203470554747.7
0.25900398827087556, 342023452495622.56
0.2868542510559633, 322116632188239.8

