# k (Mpc/h), P (mK^2 (Mpc/h)^3)
0.005973236048744385, 101657616279333.34
0.009414349618889718, 47142518475704.42
0.014430261242672516, 22520529143657.527
0.01978659058949022, 14028475523083.146
0.02306233231627836, 5980481929340.054
0.026755887107219403, 7329701617747.33
0.031185421110965592, 7315411332842.987
0.036179931638880364, 4061063863651.688
0.04315992140577806, 2534207679195.9814
0.0498402997000054, 2844470527495.6
0.05890623834890424, 2244739847578.7295
0.0686583794292441, 2175602843853.568
0.08152490897596915, 2665638884606.855
0.09590800090647436, 2166359008454.2944
0.11388108937271457, 2733323152646.9795
0.13029248128219856, 2809862197550.929
0.1539926526059492, 2567697550882.253
0.1811609194200417, 1802099282635.3403
0.21213528079835928, 2208398586259.759
0.2566103644932721, 2785705992347.307
0.29359045735093386, 3516424477143.3325

