# ell, Delta^2 in (nW/m^2/sr)^2 for 850nm from Mitchell-Winne+15
1170.9111367007592, 0.0011873293085235834
1174.4514227087964, 0.0000016790620454878315
2229.87796364924, 0.0011722282370728652
2255.657893589304, 0.0000016574276901853267
4105.165319814877, 0.0010665418717702095
4082.7733559495705, 0.0000015504909094234673
8087.454892318857, 0.0010522678974949585
8535.217065445662, 0.0000014463066921470724
15530.456279463035, 0.0014439944349966696
17099.18980243592, 0.0000021532859562360076
31106.5551328285, 0.00342839811950142
37592.52424543431, 0.000006016702243913173
63898.6011218532, 0.011624961088593679
69170.45585471977, 0.00001734099392252574
119586.87085970667, 0.03170410219016006
128363.85339972671, 0.00004477399605991811
229600.88521581978, 0.06567405744722181
254957.52498448166, 0.00008773369916319318
444681.2940031527, 0.0807364131133113
449822.3164231871, 0.00011415419153729723
945518.8464865391, 0.07528601895858972
948413.5914022404, 0.0000980487476653747
1546110.0052269155, 0.05217686304831083
1563945.2875135923, 0.00007793734411285131

