# ell, Delta^2 in (nW/m^2/sr)^2 for 850nm from Mitchell-Winne+15
1027.8745409817705, 0.0005503614718727792
1317.376927882643, 0.0006379660849260519
1904.5780726550852, 0.0008952772275404653
2493.334119471132, 0.001179249766538432
3310.6830910224535, 0.0015866287620829975
4242.770383738104, 0.0021812186374899974
5673.5187109961835, 0.0031284381741840893
7972.895972291332, 0.004485623961480721
10968.782904071095, 0.005906606428769894
14157.74927277989, 0.0072987158271873576
19756.329031233105, 0.009208842019472648
27180.541227624828, 0.011619879278538353
38471.14134017935, 0.014350362420048092
60564.505158672124, 0.017337227191849044
97398.22842926535, 0.020068771832526824
165777.15309044614, 0.02322254681746735
251904.44987063843, 0.024692550522873776
382782.21812544914, 0.025701754229799163
569425.4856861654, 0.025638820584397162
841089.0038243408, 0.02557716075329873
1278135.458785176, 0.024446235658059774
1901516.3125759722, 0.020562360173667794

